stations,easting_x_m,northing_y_m,elev_h_m,x_m,norm_h_m,offsets_m,doi_max_m,dep_38,rho_38
S06,452556.84998,2887061.09497,599.1,300,7.2000000000000455,307.6,-912,-38.0,2.7244295000000003
S07,452592.30498,2887026.38497,597.75,350,5.850000000000023,352.7,-912,-38.0,2.43086575
S08,452627.75998000003,2886991.67997,602.4,400,10.5,393.7,-912,-38.0,2.316539
S09,452663.21498000005,2886956.97497,597.35,450,5.4500000000000455,455.2,-912,-38.0,2.32291525
S10,452698.66998,2886922.2699700003,591.9,500,0.0,496.2,-912,-38.0,2.665896500000001
S11,452734.12998,2886887.56497,594.0,550,2.1000000000000227,559.1,-912,-38.0,2.91351825
S12,452769.58498000004,2886852.85497,593.7,600,1.8000000000000682,620.7,-912,-38.0,2.48865475
S13,452805.03998,2886818.14997,609.5,650,17.600000000000023,661.7,-912,-38.0,2.2659017500000003
S14,452840.49498,2886783.44497,622.75,700,30.850000000000023,702.7,-912,-38.0,1.965357
S15,452875.94998000003,2886748.73497,607.2,750,15.30000000000007,743.7,-912,-38.0,1.900666
S16,452911.40498,2886714.02997,598.25,800,6.350000000000023,805.2,-912,-38.0,1.726819
S17,452946.85998,2886679.32497,603.6,850,11.700000000000045,846.2,-912,-38.0,1.7629040000000002
S18,452982.31498,2886644.61497,608.0,900,16.100000000000026,887.2,-912,-38.0,2.51621925
S19,453017.76998000004,2886609.90997,611.6,950,19.70000000000005,969.2,-912,-38.0,2.291269
S20,453053.22498,2886575.20497,618.95,1000,27.05000000000007,1010.2,-912,-38.0,1.7632245000000002
S21,453088.67998,2886540.49497,635.2,1050,43.30000000000007,1051.2,-912,-38.0,1.80419325
S00,452771.43498,2888131.96497,589.45,0,12.200000000000045,11.0,-912,-38.0,2.2362375
S01,452812.38498000003,2888104.29997,583.3,49,6.0499999999999545,61.4,-912,-38.0,1.78415275
S02,452853.33998000005,2888076.63997,577.25,98,0.0,101.8,-912,-38.0,2.1406585
S03,452894.29498,2888048.97497,588.15,147,10.899999999999975,168.6,-912,-38.0,2.556421
S04,452935.24498,2888021.3099700003,596.6,196,19.350000000000023,204.8,-912,-38.0,2.1799515
S05,452976.19998000003,2887993.64997,591.1,245,13.850000000000026,248.8,-912,-38.0,2.7004455000000003
S06,453017.15498,2887965.98497,587.0,294,9.75,294.8,-912,-38.0,2.42912125
S07,453058.10498,2887938.31997,584.8,343,7.549999999999954,357.8,-912,-38.0,2.32200225
S08,453099.05498,2887910.65497,584.65,392,7.399999999999977,398.0,-912,-38.0,2.27823
S09,453140.00998000003,2887882.98997,584.8,441,7.549999999999954,460.8,-912,-38.0,2.377952
S10,453180.96498000005,2887855.32997,584.8,490,7.549999999999954,501.0,-912,-38.0,2.52943225
S11,453221.91498,2887827.6649700003,593.7,539,16.450000000000045,563.8,-912,-38.0,2.586838
S12,453262.86498,2887799.9999700002,599.35,588,22.100000000000023,604.0,-912,-38.0,2.026688
S13,453303.81998000003,2887772.33997,601.7,637,24.45000000000005,666.8,-912,-38.0,2.15535475
S14,453344.77498000005,2887744.67497,601.8,686,24.54999999999995,707.0,-912,-38.0,1.6765832500000002
S15,453385.72498,2887717.00997,590.35,735,13.100000000000026,747.0,-912,-38.0,1.6061800000000002
S16,453426.67498,2887689.34497,580.35,784,3.1000000000000227,816.6,-912,-38.0,1.79011975
S17,453467.62998,2887661.67997,585.05,833,7.799999999999954,856.7,-912,-38.0,2.2931095
S18,453508.58498000004,2887634.0199700003,588.05,882,10.799999999999956,896.7,-912,-38.0,2.30003525
S19,453549.53498,2887606.35497,586.9,931,9.649999999999975,959.5,-912,-38.0,1.7949995
S20,453590.48998,2887578.68997,591.15,980,13.899999999999974,999.7,-912,-38.0,1.75763925
S21,453631.44498000003,2887551.02497,599.15,1029,21.899999999999977,1062.5,-912,-38.0,1.8076830000000002
S00,453453.48501999996,2887324.03498,589.05,0,8.149999999999977,11.0,-912,-38.0,2.3811750000000003
S01,453472.41501999996,2887370.06498,589.2,50,8.300000000000068,65.6,-912,-38.0,2.10617975
S02,453491.34502,2887416.09498,586.5,100,5.600000000000024,108.4,-912,-38.0,2.65410325
S03,453510.28002,2887462.1299799997,585.0,150,4.100000000000024,147.1,-912,-38.0,2.8985407500000004
S04,453529.21502,2887508.16498,585.8,200,4.899999999999976,200.6,-912,-38.0,2.9743755000000003
S05,453548.14502,2887554.19498,584.25,250,3.3500000000000227,243.2,-912,-38.0,2.61264275
S06,453567.07502,2887600.22498,582.2,300,1.3000000000000682,296.7,-912,-38.0,2.54684325
S07,453586.00502,2887646.2549799997,580.9,350,0.0,339.3,-912,-38.0,2.53871175
S08,453604.93502,2887692.28498,585.45,400,4.550000000000068,378.0,-912,-38.0,2.73783375
S09,453623.86501999997,2887738.31998,588.55,450,7.649999999999977,431.5,-912,-38.0,3.1060462500000003
S10,453642.80001999997,2887784.35498,587.15,500,6.25,502.7,-912,-38.0,2.8056762500000003
S11,453661.73501999996,2887830.38498,589.7,550,8.800000000000068,541.3,-912,-38.0,2.12899075
S12,453680.66501999996,2887876.41498,596.1,600,15.200000000000045,594.8,-912,-38.0,2.00642025
S13,453699.59502,2887922.44498,597.7,650,16.800000000000068,637.4,-912,-38.0,2.22737275
S14,453718.52502,2887968.47998,596.55,700,15.649999999999974,704.7,-912,-38.0,1.77770825
S15,453737.45502,2888014.51498,597.75,750,16.850000000000026,758.1,-912,-38.0,1.83316225
S16,453756.38502,2888060.54498,602.25,800,21.350000000000023,800.7,-912,-38.0,2.2161205
S17,453775.32002,2888106.57498,604.75,850,23.850000000000023,839.4,-912,-38.0,2.52517175
S00,452969.68001999997,2887531.15498,582.1,0,8.800000000000068,11.1,-912,-38.0,2.14296925
S01,452991.50502,2887576.11998,577.6,50,4.300000000000068,54.1,-912,-38.0,2.41187675
S02,453013.33502,2887621.07998,576.7,100,3.4000000000000914,121.5,-912,-38.0,2.5888795
S03,453035.16001999995,2887666.04498,582.4,150,9.100000000000025,160.7,-912,-38.0,2.9034435000000003
S04,453056.98501999996,2887711.00998,584.6,200,11.30000000000007,228.3,-912,-38.0,2.9233857500000004
S05,453078.81502,2887755.96998,580.1,250,6.800000000000068,271.9,-912,-38.0,2.60580575
S06,453100.64502,2887800.93498,574.15,300,0.8500000000000227,323.6,-912,-38.0,2.46322575
S07,453122.47002,2887845.8999799998,575.15,350,1.8500000000000227,367.4,-912,-38.0,2.60348325
S08,453144.29501999996,2887890.8599799997,573.3,400,0.0,434.8,-912,-38.0,2.76904375
S09,453166.12502,2887935.82498,574.1,450,0.8000000000000682,474.2,-912,-38.0,3.129975
S10,453187.95002,2887980.78998,579.45,500,6.150000000000091,501.6,-912,-38.0,2.29552025
S11,453209.77502,2888025.74998,578.6,550,5.300000000000068,541.4,-912,-38.0,2.986468
